ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-03-30,225.20154981847907,195.08162470694154,244.4500229635556,225.20154981847907,225.20154981847907,-5.286200794312606,-5.286200794312606,-5.286200794312606,-5.286200794312606,-5.286200794312606,-5.286200794312606,0.0,0.0,0.0,219.91534902416646
2022-03-31,225.9355620556742,195.85102494981723,245.67662603938578,225.9355620556742,225.9355620556742,-4.984967063996998,-4.984967063996998,-4.984967063996998,-4.984967063996998,-4.984967063996998,-4.984967063996998,0.0,0.0,0.0,220.9505949916772
2022-04-01,226.66957429286938,198.9578853560607,248.1238567997375,226.66957429286938,226.66957429286938,-3.2896684854697713,-3.2896684854697713,-3.2896684854697713,-3.2896684854697713,-3.2896684854697713,-3.2896684854697713,0.0,0.0,0.0,223.3799058073996
2022-04-04,228.87161100445473,202.83789118497535,250.15039893587053,228.87161100445473,228.87161100445473,-2.7426262349769273,-2.7426262349769273,-2.7426262349769273,-2.7426262349769273,-2.7426262349769273,-2.7426262349769273,0.0,0.0,0.0,226.1289847694778
2022-04-05,229.60551088647026,200.87801838867,250.3781145817178,229.60551088647026,229.60551088647026,-3.177660246017425,-3.177660246017425,-3.177660246017425,-3.177660246017425,-3.177660246017425,-3.177660246017425,0.0,0.0,0.0,226.42785064045282
2022-04-06,230.33941076848578,200.93055767912756,249.3272238866097,230.33941076848578,230.33941076848578,-5.286200794314121,-5.286200794314121,-5.286200794314121,-5.286200794314121,-5.286200794314121,-5.286200794314121,0.0,0.0,0.0,225.05320997417166
2022-04-07,231.0733106505013,201.81734699025736,251.19659606346758,231.0733106505013,231.0733106505013,-4.984967064005864,-4.984967064005864,-4.984967064005864,-4.984967064005864,-4.984967064005864,-4.984967064005864,0.0,0.0,0.0,226.08834358649543
2022-04-08,231.80721053251682,205.1689853620454,252.33608236916572,231.80721053251682,231.80721053251682,-3.289668485459633,-3.289668485459633,-3.289668485459633,-3.289668485459633,-3.289668485459633,-3.289668485459633,0.0,0.0,0.0,228.5175420470572
2022-04-11,234.00891017856338,205.32053401195702,256.68596792084696,234.00891017856338,234.00891017856338,-2.742626234976319,-2.742626234976319,-2.742626234976319,-2.742626234976319,-2.742626234976319,-2.742626234976319,0.0,0.0,0.0,231.26628394358707
2022-04-12,234.7428100605789,207.7315243588034,256.5744650751766,234.7428100605789,234.7428100605789,-3.1776602460199403,-3.1776602460199403,-3.1776602460199403,-3.1776602460199403,-3.1776602460199403,-3.1776602460199403,0.0,0.0,0.0,231.56514981455896
2022-04-13,235.47670994259443,204.60883984944616,255.09293962275538,235.47670994259443,235.47670994259443,-5.286200794314896,-5.286200794314896,-5.286200794314896,-5.286200794314896,-5.286200794314896,-5.286200794314896,0.0,0.0,0.0,230.19050914827952
2022-04-14,236.21060982460997,205.2677697926098,256.39912934248093,236.21060982460997,236.21060982460997,-4.984967064002519,-4.984967064002519,-4.984967064002519,-4.984967064002519,-4.984967064002519,-4.984967064002519,0.0,0.0,0.0,231.22564276060746
2022-04-15,236.83166104580357,210.01633646853617,257.0488436581207,236.83166104580357,236.83166104580357,-3.2896684854597535,-3.2896684854597535,-3.2896684854597535,-3.2896684854597535,-3.2896684854597535,-3.2896684854597535,0.0,0.0,0.0,233.54199256034383
